identifier,numunitid,count,min,max,mean,quantile_10,quantile_20,quantile_30,quantile_40,quantile_50,quantile_60,quantile_70,quantile_80,quantile_90
1....00,139,9,0.365,509.0,65.51255,0.39,0.405,0.405,0.423,0.43,4.6,31.0,31.0,43.0
1....00,431,7,0.7,80.0,15.61,2.7,2.7,2.97,2.97,4.2,5.5,5.5,13.2,13.2
1....00,218,5,2.73,137.0,61.218,2.73,4.36,4.36,26.0,26.0,26.0,136.0,136.0,137.0
1....00,134,4,8.9,90.1,29.375,8.9,9.1,9.1,9.1,9.4,9.4,9.4,9.4,90.1
1....00,229,3,0.5,1.8,0.9666667,0.5,0.5,0.6,0.6,0.6,0.6,0.6,1.8,1.8
1....00,307,3,176.0,264.0,231.0,176.0,176.0,253.0,253.0,253.0,253.0,253.0,264.0,264.0
1....00,213,2,13.0,17.0,15.0,13.0,13.0,13.0,13.0,17.0,17.0,17.0,17.0,17.0
1....00,233,1,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
1....00,1,1,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
1....00,1243,1,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
1....00,154,1,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
1....00,285,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
122..00,13750,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12C..00,309,118,35.0,85.0,60.991524,50.0,52.0,56.0,58.0,60.0,65.0,68.0,70.0,73.0
12C..00,308,50,45.0,1994.0,145.34,58.0,59.0,62.0,65.0,70.0,72.0,73.0,78.0,85.0
12C..00,4315,24,50.0,87.0,71.666664,58.0,69.0,69.0,69.0,69.0,70.0,73.0,83.0,87.0
12C..00,629,4,55.0,71.0,59.75,55.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,71.0
12C..00,8978,2,65.0,74.0,69.5,65.0,65.0,65.0,65.0,74.0,74.0,74.0,74.0,74.0
12C..00,8965,2,70.0,71.0,70.5,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0
12C..00,13750,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
12C..00,8963,1,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
12C..00,747,1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
136..00,290,39,0.0,56.0,15.128205,0.0,0.0,0.0,1.0,6.0,16.0,24.0,30.0,40.0
137..00,141,75,0.0,2004.0,135.51334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0
137..00,118,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137..00,247,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137..00,98,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137..00,1551,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138..00,165,765,1.0,7.0,4.628758,2.0,3.0,3.0,4.0,5.0,5.0,6.0,7.0,7.0
138..00,130,481,0.0,7.0,4.3783784,2.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0
138..00,222,375,1.0,7.0,4.888,3.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0
138..00,127,17,2.0,7.0,4.7058825,2.0,2.0,3.0,3.0,4.0,7.0,7.0,7.0,7.0
138..00,273,9,2.0,7.0,4.6666665,3.0,3.0,3.0,3.0,5.0,5.0,7.0,7.0,7.0
138..00,7051,8,1.0,20.0,9.75,1.0,1.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0
138..00,128,8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
138..00,45,4,1.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
138..00,1674,3,0.0,10.0,4.3333335,0.0,0.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0
138..00,1901,2,4.0,5.0,4.5,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
138..00,5683,2,5.0,6.0,5.5,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
138..00,996,2,5.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0
138..00,9815,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
138..00,806,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13C..00,2172,151,0.0,120.0,27.225166,0.0,5.0,10.0,20.0,20.0,30.0,30.0,40.0,60.0
13C..00,4672,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
13D..00,308,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13F..00,1042,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13G..00,273,1059,0.0,28.0,1.1864967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
13G..00,130,238,0.0,7.0,0.6554622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13G..00,3084,2,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
13G..00,20059,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13G..00,1253,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13G..00,3732,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13J..00,148,100,0.0,32.0,17.4,5.0,10.0,14.0,16.0,17.0,20.0,22.0,24.0,30.0
13J..00,129,30,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13J..00,128,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13J..00,299,7,4.0,8.0,4.571429,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13J..00,835,5,2.0,30.0,10.2,2.0,2.0,2.0,6.0,6.0,6.0,11.0,11.0,30.0
13J..00,1075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13X..00,128,106,3.0,180.0,20.226416,7.0,12.0,14.0,14.0,15.0,17.0,21.0,22.0,30.0
13X..00,129,34,6.0,42.0,15.470589,7.0,8.0,13.0,14.0,14.0,14.0,14.0,21.0,28.0
13X..00,299,4,2.0,8.0,4.125,2.0,2.5,2.5,2.5,4.0,4.0,4.0,4.0,8.0
13X..00,352,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13p..00,257,133,0.0,20.0,3.4610527,0.0,0.32,1.0,1.0,2.0,3.0,4.0,5.0,10.0
13p..00,288,11,0.0,21.0,6.5454545,1.0,1.0,4.0,4.0,5.0,6.0,9.0,10.0,11.0
13p..00,2380,3,6.0,23.0,12.666667,6.0,6.0,9.0,9.0,9.0,9.0,9.0,23.0,23.0
13p..00,10299,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14O..00,288,82,0.0,12.0,6.0731707,4.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,9.0
14R..00,47,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
151..00,129,57,0.0,28.0,17.59649,0.0,0.0,5.0,14.0,28.0,28.0,28.0,28.0,28.0
151..00,309,19,11.0,62.0,16.0,11.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,17.0
151..00,128,10,0.0,28.0,25.2,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
151..00,308,2,13.0,16.0,14.5,13.0,13.0,13.0,13.0,16.0,16.0,16.0,16.0,16.0
151..00,747,1,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
152..00,51,200,0.0,11.0,1.5355,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0
152..00,878,10,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0
152..00,889,5,0.0,4.0,2.2,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0
156..00,835,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
16...00,1243,5,0.0,10.0,2.118,0.0,0.03,0.03,0.24,0.24,0.24,0.32,0.32,10.0
16...00,218,2,5.5,13.7,9.6,5.5,5.5,5.5,5.5,13.7,13.7,13.7,13.7,13.7
162..00,156,28,41.0,109.0,76.08036,60.0,64.0,70.0,73.0,75.9,76.2,80.0,91.0,96.0
164..00,1179,18,6.0,8.0,6.111111,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
164..00,11182,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
165..00,110,103,35.3,38.3,36.56408,36.0,36.2,36.3,36.5,36.6,36.7,36.8,36.9,37.0
165..00,943,1,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7
165..00,1174,1,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
16D..00,47,4352,0.0,2019.0,1.2481618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
16D..00,424,135,0.0,100.0,2.074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
16D..00,288,82,0.0,2.0,0.15853658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16D..00,9706,3,0.0,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16D..00,7927,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16D..00,1286,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16D..00,64,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16D..00,1494,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16D..00,15241,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16D..00,15189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16I..00,777,43,0.0,1500.0,215.46512,0.0,18.0,50.0,75.0,100.0,100.0,200.0,250.0,400.0
16I..00,173,36,10.0,5000.0,459.66666,20.0,25.0,50.0,50.0,100.0,100.0,200.0,300.0,2000.0
16Q..00,201,8,1.0,1300.0,837.875,2.0,2.0,1000.0,1000.0,1000.0,1000.0,1200.0,1200.0,1200.0
17...00,183,6,5.8,22.8,10.883334,6.1,6.1,8.3,8.3,10.8,10.8,11.5,11.5,22.8
173..00,144,10,0.0,3.0,1.7,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
173..00,45,9,0.0,5.0,1.7777778,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0
173..00,991,7,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
173..00,11175,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17Z..00,129,5,0.0,7.0,3.4,0.0,1.0,1.0,2.0,2.0,2.0,7.0,7.0,7.0
18...00,218,5,3.1,5.7,4.5,3.1,4.0,4.0,4.7,4.7,4.7,5.0,5.0,5.7
18...00,154,1,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
185..00,432,5,25.0,100.0,57.0,25.0,30.0,30.0,30.0,30.0,30.0,100.0,100.0,100.0
187..00,45,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19E..00,272,3,1.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0
19Z..00,276,1,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
1A1..00,272,147,0.0,30.0,9.863946,5.0,6.0,6.0,8.0,10.0,10.0,10.0,12.0,15.0
1A1..00,10271,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1A1..00,2634,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1B...00,183,1,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
1B1..00,25,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1BP..00,25,2,1.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
1BR..00,25,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1D3..00,129,33,0.0,42.0,6.090909,0.0,0.0,2.0,3.0,3.0,3.0,6.0,8.0,14.0
1D3..00,148,31,1.0,673.0,58.419353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,48.0
1D3..00,298,25,1.0,6.0,2.84,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0
1D3..00,299,20,0.0,52.0,13.45,1.0,2.0,2.0,2.0,3.0,4.0,8.0,26.0,52.0
1D3..00,128,19,1.0,10.0,4.4736843,2.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0
1D3..00,880,10,1.0,18.0,4.9,1.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,12.0
1D3..00,352,6,0.0,6.0,2.3333333,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0
1D3..00,308,5,1.0,2010.0,406.6,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,2010.0
1D3..00,309,5,0.0,10.0,3.6,0.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,10.0
1D3..00,1163,4,0.0,8.0,3.75,0.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,8.0
1D4..00,129,303,0.0,30.0,4.1749177,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0
1D4..00,148,284,0.0,672.0,36.380283,0.0,0.0,1.0,6.0,24.0,24.0,48.0,48.0,72.0
1D4..00,298,156,1.0,8.0,1.3589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1D4..00,299,155,1.0,8.0,2.8967743,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
1D4..00,128,62,1.0,14.0,2.6290324,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0
1D4..00,880,61,1.0,12.0,4.327869,1.0,1.0,1.0,2.0,2.0,5.0,7.0,8.0,10.0
1D4..00,352,28,2.0,6.0,3.2857144,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0
1D4..00,835,7,7.0,24.0,19.142857,7.0,7.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
1D4..00,309,4,2.0,5.0,3.75,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
1D4..00,308,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1D4..00,1502,3,2.0,3.0,2.3333333,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
1D4..00,7339,1,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
1D4..00,261,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1D4..00,3949,1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1D4..00,17432,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1D4..00,12493,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1D4..00,869,1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1D4..00,17190,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1D4..00,1291,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1D4..00,27622,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1D4..00,808,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
1D4..00,721,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1D4..00,3835,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1D5..00,1286,4,1.0,4.0,2.5,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
1DA..00,996,6,0.0,7.0,2.1666667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0
1F1..00,2858,184,0.0,7.0,1.6847826,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0
1F1..00,3973,7,5.0,30.0,11.857142,6.0,6.0,8.0,8.0,10.0,10.0,10.0,14.0,14.0
1F2..00,3981,7,2.0,13.0,6.714286,3.0,3.0,5.0,5.0,5.0,9.0,9.0,10.0,10.0
1F4..00,1568,9,0.0,2000.0,909.524,0.0,0.0,0.0,1.716,1488.0,1492.0,1506.0,1506.0,1698.0
1FD..00,9510,1,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
1FE..00,39,498,0.0,9.0,3.8253012,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0
1FE..00,436,259,0.0,8.0,4.2393823,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
1FE..00,1530,55,1.0,10.0,4.6363635,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0
1FE..00,1534,13,1.0,5.0,3.7692308,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
1FE..00,1015,10,1.0,4.0,2.6,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
1FE..00,709,9,2.0,5.0,3.8888888,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0
1FE..00,2850,6,2.0,5.0,4.3333335,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1FE..00,288,3,3.0,5.0,4.3333335,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1FE..00,382,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1FG..00,2858,16,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1L2..00,721,1546,1.0,120.0,19.458603,10.0,10.0,10.0,20.0,20.0,20.0,20.0,30.0,30.0
1L3..00,747,12,25.0,65.0,42.25,25.0,25.0,40.0,40.0,40.0,40.0,51.0,51.0,65.0
1M2..00,10,836,0.0,10.0,2.6028707,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,7.0
1M2..00,398,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
1P0..00,25,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1P7..00,47,8,0.0,2.0,0.875,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1P7..00,128,6,7.0,90.0,25.0,7.0,7.0,8.0,8.0,10.0,10.0,28.0,28.0,90.0
1P7..00,129,5,2.0,10.0,6.4,2.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,10.0
1P7..00,126,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1P7..00,603,1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
1z...00,139,4,2.2,4.4,3.5750003,2.2,3.6,3.6,3.6,4.1,4.1,4.1,4.1,4.4
1z...00,214,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1z...00,835,1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1zz..00,44,6,3.0,3559.0,711.1667,11.0,11.0,13.0,13.0,37.0,37.0,644.0,644.0,3559.0
1zz..00,1286,2,1.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
1zz..00,9543,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2....00,2272,10,124.0,190.0,150.6,128.0,128.0,132.0,144.0,150.0,150.0,150.0,180.0,180.0
2....00,1,1,47.17,47.17,47.17,47.17,47.17,47.17,47.17,47.17,47.17,47.17,47.17,47.17
22A..00,1,123,0.0,96.4,5.5470657,0.0,0.0,0.0,0.0,0.041,1.489,4.19,7.0,14.5
22A..00,156,12,0.0,79.8,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8
22A..00,3283,1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
22E..00,1452,66,10.0,32.0,16.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,22.0
22E..00,216,8,12.0,24.0,17.375,13.0,13.0,15.0,16.0,17.0,17.0,18.0,24.0,24.0
22E..00,210,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
22H..00,122,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
22K..00,157,1828,-0.43,361.006,30.037983,25.35,26.13,27.042,27.82,28.7,29.72,31.209,32.74,35.56
22K..00,218,1,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
22L..00,1,78,0.0,100.0,28.339743,0.0,0.0,0.0,0.0,0.0,15.0,50.0,75.0,100.0
22N..00,122,25401,0.0,1234.0,97.696075,78.0,87.0,92.0,96.0,100.0,103.0,107.0,112.0,119.0
22N..00,408,1254,22.0,199.0,102.0312,85.0,90.0,94.0,97.0,101.0,104.0,109.0,115.0,123.0
22N..00,260,341,0.7,1.15,0.96222955,0.91,0.93,0.95,0.95,0.96,0.98,0.99,1.01,1.02
22N..00,1863,101,45.0,128.0,99.935646,86.0,91.0,94.0,96.5,99.0,103.0,106.5,112.0,117.0
22N..00,940,78,30.0,50.0,39.81795,34.0,35.0,37.0,38.0,39.0,41.0,43.0,45.0,46.0
22N..00,2548,5,33.0,48.0,38.7,33.0,35.5,35.5,36.0,36.0,36.0,41.0,41.0,48.0
22N..00,2598,4,36.5,44.0,40.875,36.5,40.0,40.0,40.0,43.0,43.0,43.0,43.0,44.0
22N..00,1057,1,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
22Q..00,209,1213,0.0,2000.0,24.193819,0.5,2.0,5.0,8.0,10.0,15.0,20.0,30.0,50.0
22Q..00,1,868,0.0,100.0,55.32028,10.0,20.0,30.0,40.0,50.0,70.0,80.0,99.0,100.0
22Q..00,122,91,0.0,20.0,2.6164837,0.2,0.5,1.0,1.0,1.5,2.0,3.0,4.0,7.0
22Q..00,13303,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
22R..00,1585,70,1.5,39.74,9.877715,1.62,1.65,1.74,1.85,1.96,2.04,2.4,25.23,29.48
22R..00,157,2,30.78,32.05,31.415,30.78,30.78,30.78,30.78,32.05,32.05,32.05,32.05,32.05
22R..00,175,1,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
22R..00,156,1,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38
22V..00,309,46,-5.0,22.0,3.326087,-2.0,-1.0,2.0,2.0,3.0,3.0,5.0,7.0,9.0
22V..00,308,23,-2.0,73.0,17.252172,1.0,1.0,3.0,3.0,5.0,6.0,12.0,28.0,72.0
22W..00,308,95,9.0,95.0,62.76526,39.0,55.0,60.0,65.0,68.0,70.0,72.0,73.0,78.0
22W..00,309,67,37.0,83.0,67.0597,57.0,60.0,63.0,66.0,68.0,70.0,72.0,74.0,77.0
22Y..00,156,8,14.8,32.1,22.075,15.0,15.0,21.2,21.6,22.3,22.3,22.8,26.8,26.8
22Y..00,1,6,13.5,40.4,32.43333,28.6,28.6,36.4,36.4,37.5,37.5,38.2,38.2,40.4
233..00,122,1,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
235..00,42,19181,0.0,1688.0,18.009092,14.0,15.0,16.0,16.0,17.0,18.0,18.0,20.0,22.0
235..00,109,743,1.0,78.0,18.005249,12.0,14.0,16.0,16.0,18.0,18.0,20.0,20.0,23.0
235..00,41,546,0.0,362.0,18.274725,12.0,13.0,14.0,16.0,16.0,18.0,20.0,20.0,24.0
235..00,1311,50,8.0,28.0,17.28,12.0,12.0,16.0,16.0,18.0,18.0,18.0,20.0,22.0
235..00,764,22,14.0,30.0,18.363636,15.0,16.0,16.0,16.0,17.0,17.0,20.0,22.0,25.0
235..00,1773,19,12.0,16.0,13.684211,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,16.0
235..00,3407,13,16.0,26.0,19.076923,16.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,22.0
235..00,163,2,500.0,575.0,537.5,500.0,500.0,500.0,500.0,575.0,575.0,575.0,575.0,575.0
235..00,343,2,16.0,30.0,23.0,16.0,16.0,16.0,16.0,30.0,30.0,30.0,30.0,30.0
235..00,721,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
235..00,59,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
235..00,2523,1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
235..00,382,1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
235..00,64,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
235..00,53,1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
235..00,6284,1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
236..00,200,2,0.0,16.0,8.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0
23L..00,1,4,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
242..00,104,181191,0.0,167110.0,76.2427,60.0,64.0,68.0,71.0,74.0,78.0,80.0,85.0,92.0
242..00,42,47376,0.0,766.0,73.54937,58.0,62.0,66.0,70.0,72.0,76.0,80.0,83.0,90.0
242..00,105,17254,0.0,35023.4,77.01766,58.0,64.0,68.0,70.0,74.0,77.0,80.0,85.0,91.0
